author,section_name,avg_comments
Glenn Thrush,Business Day,3923.0
Susanne Craig,Well,3180.0
Alan Feuer,Business Day,3092.0
Michael,Climate,2891.6666666666665
Robert Kolker,Magazine,2691.0
Robin Pogrebin,Sunday Review,2271.0
Deb Perelman,Business Day,2110.0
Timothy Snyder,Magazine,1953.5
Arturo Rubio,U.S.,1787.0
Evan Hill,Video,1785.0
Nancy Wartik,Sunday Review,1673.0
Mark Mazzetti,New York,1647.0
Amy Rosenthal,Style,1640.0
Matt Flegenheimer,Style,1625.0
Lucinda Holt,U.S.,1562.0
Rachel Poser,Magazine,1559.0
John Keefe,The Upshot,1555.0
Linda Greenhouse,U.S.,1554.5
Rick Perlstein,Magazine,1542.0
Ellen Gabler,Business Day,1537.6666666666667
Julie Bosman,Arts,1521.0
William Langewiesche,Magazine,1472.0
Francesca Mari,Magazine,1451.5
David Joy,Magazine,1365.0
Kim Severson,Business Day,1353.0
Adam Grant,Well,1334.0
Andrea Elliott,Magazine,1317.0
Michael,Sports,1310.0
Patricia Callahan,U.S.,1305.0
Sharon LaFraniere,New York,1277.0
Melissa Febos,Magazine,1276.0
Jenny Gross,Books,1229.0
Jennifer Miller,Real Estate,1186.0
Gary Taubes,Well,1180.0
Elisabeth Rosenthal,Sunday Review,1173.0
Nicholas Casey,Magazine,1163.0
Nikole Hannah-Jones,Sunday Review,1161.0
Jo Becker,U.S.,1154.2307692307693
Guy Lawson,Magazine,1153.5
Dale Russakoff,Magazine,1145.0
Matthew Rosenberg,Video,1142.0
Claudia Rankine,Magazine,1137.0
Daniel Bergner,Magazine,1116.5
Josh Owens,Magazine,1057.0
David Samuels,Magazine,1056.0
Simon Romero,Arts,1049.0
Jim Tankersley,Sunday Review,1046.0
Nathan Thrall,Magazine,1025.0
David Leonhardt,U.S.,1014.0
Douglas Brinkley,Arts,1010.0
