author,section_name,avg_comments
Susanne Craig,Well,3180.0
Robert Kolker,Magazine,2691.0
Francesca Mari,Magazine,1984.0
Timothy Snyder,Magazine,1953.5
Peter Baker,Books,1737.0
Rachel Poser,Magazine,1559.0
Adam Grant,Well,1334.0
Andrea Elliott,Magazine,1317.0
Sarah Viren,Magazine,1282.0
Melissa Febos,Magazine,1276.0
Jenny Gross,Books,1229.0
Yudhijit Bhattacharjee,Magazine,1208.0
Jennifer Miller,Real Estate,1186.0
Nicholas Casey,Magazine,1163.0
Matthew Rosenberg,Video,1142.0
Simon Romero,Arts,1049.0
Keith Gessen,Magazine,1035.0
James Gorman,Well,1000.0
Lauren Markham,Magazine,987.0
Francine Russo,Well,971.0
Amy Walker,Science,966.0
Dan Egan,Climate,956.0
Casey Parks,Magazine,920.0
Christiaan Triebert,U.S.,906.0
Dan Barry,U.S.,874.3333333333334
Neil Vigdor,Travel,832.5
Manuela Andreoni,Climate,823.0
Edan Lepucki,Magazine,821.0
Matt Flegenheimer,New York,797.75
Maira Garcia,Movies,789.0
Michael Powell,U.S.,778.6
Benjamin Hett,Books,774.0
Willy Staley,Magazine,765.0
Nellie Bowles,Technology,764.0
Mika Gröndahl,Travel,739.0
Alice Callahan,Well,737.0
Jane Hu,Magazine,725.0
Peter Goodman,World,718.5
H. Brown,Magazine,718.0
Bruce Weber,Theater,710.0
Kevin Williams,U.S.,708.0
C. Chivers,Magazine,707.0
Charlie Smart,U.S.,701.5
Matthew Chingos,The Upshot,688.0
James Glanz,U.S.,684.0
Lauren Oyler,Magazine,676.0
Dionne Searcey,Climate,672.0
Marc Tracy,Magazine,664.0
Frank Herfort,Travel,661.0
Robert Draper,Magazine,652.0
