author,section_name,avg_comments
Linda Greenhouse,U.S.,2879.0
Russ Buettner,U.S.,2296.0
Deb Perelman,Business Day,2110.0
Evan Hill,Video,1785.0
Nancy Wartik,Sunday Review,1673.0
John Keefe,The Upshot,1555.0
Robert Klitzman,Well,1541.0
Hallie Golden,U.S.,1489.0
Benedict Carey,U.S.,1363.0
Daniel Bergner,Magazine,1214.0
Jim Tankersley,Sunday Review,1046.0
Andrew Jacobs,Science,1041.0
Aljean Harmetz,Movies,1019.0
David Leonhardt,U.S.,1014.0
Douglas Brinkley,Arts,1010.0
William Broad,Health,970.6666666666666
Jonathan Mahler,Magazine,961.3333333333334
Scott Sayare,Magazine,959.0
Sergio Olmos,U.S.,922.0
Francesca Mari,Magazine,919.0
Kenneth Vogel,Business Day,913.0
Ralph Blumenthal,Times Insider,890.0
Isabel Wilkerson,Magazine,889.0
Annie Karni,Business Day,878.0
Natasha Singer,U.S.,842.0
John Grippe,Reader Center,829.5
David Enrich,Magazine,823.0
Derek Watkins,U.S.,819.0
Rebecca Robbins,Health,794.5
Ben Ehrenreich,Magazine,786.0
Alisha Gupta,Books,764.0
Photographs Ann,Magazine,755.0
Susanne Craig,U.S.,748.5
Jenna Wortham,Sunday Review,735.0
William Brennan,Magazine,726.0
Haley Willis,U.S.,725.5
J.,Magazine,724.0
Emily Bazelon,Magazine,712.7
Ellen Gabler,Science,702.0
Richard Pérez-Peña,Health,699.0
Mike McIntire,U.S.,688.75
Jeneen Interlandi,Magazine,666.0
Kate Kelly,U.S.,664.0
Michael Winerip,Magazine,663.0
Nate Chinen,Arts,661.0
Tom Hanks,Magazine,641.0
Judith Newman,New York,639.0
Britany Robinson,Style,629.0
Sarah Kliff,Business Day,629.0
Abrahm Lustgarten,Magazine,625.0
