author,section_name,avg_comments
Alan Feuer,Business Day,3092.0
Mark Mazzetti,New York,1647.0
Matt Flegenheimer,Style,1625.0
Jo Becker,U.S.,1582.0
Janet Reitman,Magazine,1483.0
Patrick Healy,Arts,1447.0
Nellie Bowles,Books,1425.0
David Joy,Magazine,1365.0
Kim Severson,Business Day,1353.0
Michael,Sports,1310.0
Sharon LaFraniere,New York,1277.0
Linda Villarosa,Magazine,1224.0
Elisabeth Rosenthal,Sunday Review,1173.0
Guy Lawson,Magazine,1153.5
Matthew Desmond,Magazine,1013.0
Eduardo Porter,Sunday Review,993.0
Amy Chozick,Sunday Review,986.0
Mike McIntire,New York,970.0
Michiko Kakutani,Books,968.0
David Barstow,U.S.,925.0
Jim Rutenberg,New York,915.0
Sam Dolnick,Style,912.0
Matt Apuzzo,U.S.,889.1153846153846
Maggie Haberman,Sunday Review,883.0
Jonah Bromwich,Fashion & Style,843.0
Danny Hakim,New York,836.6
Dan Barry,Sports,813.0
Abrahm Lustgarten,Magazine,789.0
Nicole Phillip,Travel,757.0
Michael Schmidt,U.S.,737.1063829787234
Andrew Kramer,U.S.,733.0
Liz Szabo,Well,730.0
Kate Kelly,U.S.,729.0
Dan Barry,U.S.,728.0
Peter Baker,Sunday Review,723.0
Jennifer Percy,Magazine,717.5
Charlie Savage,Sunday Review,695.0
Christopher Payne,Magazine,693.0
Steve Eder,U.S.,686.6666666666666
Meredith Kolodner,Business Day,668.0
Maya Averbuch,World,656.25
Mark Landler,World,638.925
Reed Abelson,The Upshot,603.0
Elizabeth Choi,Well,601.0
Michael,U.S.,592.5086206896551
Valeriya Safronova,Movies,586.0
Julie Davis,U.S.,583.488
Stephen Marche,Well,583.0
Enid Nemy,U.S.,581.0
Michael Steinberger,Magazine,576.0
