author,section_name,avg_comments
Glenn Thrush,Business Day,7394.0
Ellen Gabler,Business Day,4613.0
Michael,Climate,2891.6666666666665
Marc Lacey,Reader Center,2753.0
Jo Becker,U.S.,2017.1666666666667
Matthew Desmond,Magazine,1740.0
Amy Rosenthal,Style,1640.0
Rick Perlstein,Magazine,1542.0
Dana Goldstein,Education,1480.0
Gary Taubes,Well,1180.0
Dale Russakoff,Magazine,1145.0
David Montgomery,U.S.,1117.0
Matthew Shaer,Magazine,1038.5
Jonathan Alter,Magazine,992.0
Elisabeth Rosenthal,Magazine,968.0
Peter Baker,Sunday Review,953.0
Ari Berman,Magazine,921.0
Bettina Siegel,Well,907.0
Danny Hakim,New York,885.0
Robert Draper,Magazine,872.0
Mark Landler,Business Day,865.0
Janet Reitman,Magazine,851.0
Susan Dominus,Magazine,763.3333333333334
Julie Creswell,The Upshot,761.0
Jeremy Ashkenas,U.S.,745.0
Matt Apuzzo,U.S.,720.4634146341464
Susan Chira,U.S.,714.5555555555555
Matthew Rosenberg,U.S.,707.8125
Thomas Kaplan,U.S.,702.0694444444445
Michael,U.S.,701.863309352518
Steven Johnson,Magazine,694.0
Introduction Appelbaum,Magazine,676.0
Nick Wingfield,Education,670.0
Michael Schmidt,U.S.,667.9622641509434
Bassey Etim,Times Insider,659.0
Eric Posner,Sunday Review,653.0
Kim Barker,U.S.,647.0
Dave Kehr,Movies,634.0
Laura Mansnerus,Business Day,633.0
Jugal Patel,The Upshot,630.0
Benoit Denizet-Lewis,Magazine,623.5
Farah Stockman,U.S.,621.1666666666666
Michael Schmidt,Times Insider,595.0
Susanne Craig,U.S.,582.3333333333334
Mike McIntire,Sports,581.0
Jodi Kantor,U.S.,578.4
Jeanne Laskas,Magazine,557.0
Anne-sophie Bolon,World,553.0
Bob Brody,Well,552.0
Peter Baker,World,537.825
