author,section_name,avg_recommendations
Robert Kolker,Magazine,2579.0
Alan Feuer,Business Day,2464.0
Glenn Thrush,Business Day,2446.5
Susanne Craig,Well,2418.0
Robin Pogrebin,Sunday Review,1914.0
Deb Perelman,Business Day,1762.0
Arturo Rubio,U.S.,1479.0
Nancy Wartik,Sunday Review,1386.0
Lucinda Holt,U.S.,1361.0
Linda Greenhouse,U.S.,1304.0
Mark Mazzetti,New York,1301.0
Evan Hill,Video,1272.0
Rachel Poser,Magazine,1266.0
Timothy Snyder,Magazine,1265.5
Matt Flegenheimer,Style,1253.0
Julie Bosman,Arts,1229.0
Andrea Elliott,Magazine,1223.0
William Langewiesche,Magazine,1207.0
Amy Rosenthal,Style,1206.0
Kim Severson,Business Day,1182.0
Adam Grant,Well,1168.0
Francesca Mari,Magazine,1154.5
Melissa Febos,Magazine,1145.0
Nicholas Casey,Magazine,1110.0
Michael,Climate,1102.0
Michael,Sports,1055.0
Sharon LaFraniere,New York,996.0
Jennifer Miller,Real Estate,985.0
Jenny Gross,Books,985.0
David Joy,Magazine,981.0
Nikole Hannah-Jones,Sunday Review,931.0
Patricia Callahan,U.S.,929.0
Daniel Bergner,Magazine,911.0
Claudia Rankine,Magazine,909.0
Ellen Gabler,Business Day,902.6666666666666
Gary Taubes,Well,887.0
Francine Russo,Well,879.0
Josh Owens,Magazine,872.0
Lauren Markham,Magazine,870.0
Dale Russakoff,Magazine,863.0
John Keefe,The Upshot,857.0
Nathan Thrall,Magazine,848.0
Matthew Rosenberg,Video,838.0
Guy Lawson,Magazine,835.0
Douglas Brinkley,Arts,818.0
Christiaan Triebert,U.S.,815.0
Simon Romero,Arts,811.0
Casey Parks,Magazine,802.0
Dan Egan,Climate,790.0
Sam Dolnick,Style,765.0
