author,section_name,avg_recommendations
Linda Greenhouse,U.S.,2409.0
Deb Perelman,Business Day,1762.0
Russ Buettner,U.S.,1641.5
Nancy Wartik,Sunday Review,1386.0
Evan Hill,Video,1272.0
Robert Klitzman,Well,1253.0
Hallie Golden,U.S.,1086.0
Benedict Carey,U.S.,1019.0
Daniel Bergner,Magazine,998.0
Aljean Harmetz,Movies,924.0
John Keefe,The Upshot,857.0
Andrew Jacobs,Science,846.0
Douglas Brinkley,Arts,818.0
William Broad,Health,772.3333333333334
Jim Tankersley,Sunday Review,735.0
Annie Karni,Business Day,734.0
Sergio Olmos,U.S.,725.3333333333334
Natasha Singer,U.S.,725.0
Francesca Mari,Magazine,725.0
David Enrich,Magazine,710.0
Kenneth Vogel,Business Day,674.0
Jonathan Mahler,Magazine,659.6666666666666
David Leonhardt,U.S.,649.0
Michael Winerip,Magazine,643.0
Alisha Gupta,Books,637.0
John Grippe,Reader Center,636.5
Scott Sayare,Magazine,623.0
Haley Willis,U.S.,616.0
William Brennan,Magazine,615.0
Isabel Wilkerson,Magazine,611.0
Rebecca Robbins,Health,605.0
Judith Newman,New York,599.0
Ellen Gabler,Science,596.0
Ben Ehrenreich,Magazine,585.0
Britany Robinson,Style,584.0
Christina Poletto,Real Estate,583.0
Jenna Wortham,Sunday Review,580.0
Kate Kelly,U.S.,572.6666666666666
Susanne Craig,U.S.,568.5
Photographs Ann,Magazine,568.0
Nate Chinen,Arts,559.0
Tim Weiner,Arts,552.0
J.,Magazine,538.0
Richard Pérez-Peña,Health,535.0
William Lamb,Real Estate,534.0
Elaina Plott,Magazine,534.0
Amanda Hess,Magazine,531.0
Nellie Bowles,U.S.,524.6
Derek Watkins,U.S.,521.0
Jeneen Interlandi,Magazine,519.0
