author,section_name,avg_recommendations
Robin Pogrebin,Sunday Review,1914.0
Claudia Rankine,Magazine,1762.0
Arturo Rubio,U.S.,1479.0
Lucinda Holt,U.S.,1361.0
David Margolick,New York,1319.0
Rukmini Callimachi,U.S.,1246.0
Julie Bosman,Arts,1229.0
William Langewiesche,Magazine,1207.0
Jessica Aguirre,Magazine,1139.0
Jo Becker,World,1024.0
Michael Forsythe,U.S.,1022.0
Maggie Haberman,Business Day,1008.0
Michael LaForgia,U.S.,946.0
Nikole Hannah-Jones,Sunday Review,931.0
Patricia Callahan,U.S.,929.0
Scott Shane,Business Day,882.0
Charlie Savage,World,879.5
Josh Owens,Magazine,872.0
Jodi Kantor,New York,865.0
Wil Hylton,Magazine,855.0
Nathan Thrall,Magazine,848.0
Thomas Kaplan,Business Day,838.0
Daniel Bergner,Magazine,824.0
Katherine Rosman,U.S.,821.0
Amanda Hess,Magazine,809.5
Patricia Mazzei,New York,804.0
Taffy Brodesser-Akner,Movies,772.0
Jim Rutenberg,Technology,765.0
Andrew Kramer,U.S.,757.0
Julia Scheeres,Well,746.0
Patricia Mazzei,Sports,723.0
Jonathan Weisman,Sunday Review,715.0
Kate Murphy,Sunday Review,705.0
David Perlmutt,U.S.,703.0
Rachel Swarns,Sunday Review,683.0
Jason DeParle,Sunday Review,683.0
Ronen Bergman,Magazine,664.0
Keren Blankfeld,New York,661.0
David Samuels,Magazine,657.0
Mark Mazzetti,U.S.,656.3461538461538
Andy Newman,Travel,655.0
Noam Scheiber,U.S.,645.0
Megan Specia,Travel,632.0
Heather King,Magazine,628.0
Jessica Bennett,Theater,626.0
Jason DeParle,U.S.,621.0
Nikole Hannah-Jones,Magazine,607.0
Apoorva Mandavilli,Well,605.0
Julie Davis,U.S.,598.5714285714286
Denise Lu,Climate,595.0
