author,section_name,avg_recommendations
Alan Feuer,Business Day,2464.0
Mark Mazzetti,New York,1301.0
Matt Flegenheimer,Style,1253.0
Kim Severson,Business Day,1182.0
Patrick Healy,Arts,1145.0
Nellie Bowles,Books,1092.0
Jo Becker,U.S.,1083.0
Michael,Sports,1055.0
Linda Villarosa,Magazine,1046.0
Sharon LaFraniere,New York,996.0
David Joy,Magazine,981.0
Guy Lawson,Magazine,835.0
Janet Reitman,Magazine,793.0
Sam Dolnick,Style,765.0
Amy Chozick,Sunday Review,757.0
Mike McIntire,New York,755.0
Matthew Desmond,Magazine,739.0
Jonah Bromwich,Fashion & Style,694.0
Jim Rutenberg,New York,668.0
Michiko Kakutani,Books,640.0
Elisabeth Rosenthal,Sunday Review,634.0
David Barstow,U.S.,621.0
Danny Hakim,New York,613.6
Eduardo Porter,Sunday Review,610.0
Nicole Phillip,Travel,601.0
Andrew Kramer,U.S.,598.0
Meredith Kolodner,Business Day,590.0
Liz Szabo,Well,584.0
Peter Baker,Sunday Review,577.0
Steve Eder,U.S.,561.1666666666666
Dan Barry,U.S.,558.3333333333334
Dan Barry,Sports,550.0
Abrahm Lustgarten,Magazine,543.0
Jennifer Percy,Magazine,542.0
Maya Averbuch,World,537.75
Reed Abelson,The Upshot,532.0
Elizabeth Choi,Well,530.0
Matt Apuzzo,U.S.,529.5384615384615
Valeriya Safronova,Movies,518.0
Enid Nemy,U.S.,511.0
Maggie Haberman,Sunday Review,500.0
Russ Buettner,U.S.,481.3333333333333
Matthew Haag,Sports,481.0
Charlie Savage,Sunday Review,473.0
Noah Shannon,Magazine,470.0
Stephen Marche,Well,465.0
Christopher Payne,Magazine,460.0
Michael Steinberger,Magazine,454.0
Michael Schmidt,U.S.,414.4255319148936
Sarah Nir,Sports,413.0
