author,section_name,avg_recommendations
Glenn Thrush,Business Day,4572.0
Ellen Gabler,Business Day,2708.0
Marc Lacey,Reader Center,1719.0
Jo Becker,U.S.,1259.3333333333333
Amy Rosenthal,Style,1206.0
Michael,Climate,1102.0
Matthew Desmond,Magazine,902.0
Gary Taubes,Well,887.0
Dana Goldstein,Education,870.0
Dale Russakoff,Magazine,863.0
Rick Perlstein,Magazine,756.0
Matthew Shaer,Magazine,746.0
Bettina Siegel,Well,705.0
Elisabeth Rosenthal,Magazine,645.0
Mark Landler,Business Day,613.0
Jonathan Alter,Magazine,608.0
Susan Dominus,Magazine,582.6666666666666
David Montgomery,U.S.,578.8571428571429
Julie Creswell,The Upshot,575.0
Peter Baker,Sunday Review,558.0
Ari Berman,Magazine,557.0
Robert Draper,Magazine,538.3333333333334
Jeanne Laskas,Magazine,531.0
Dave Kehr,Movies,514.0
Bassey Etim,Times Insider,509.0
Nick Wingfield,Education,503.0
Janet Reitman,Magazine,502.0
Farah Stockman,U.S.,487.5
Laura Mansnerus,Business Day,485.0
Jeremy Ashkenas,U.S.,467.0
Jugal Patel,The Upshot,466.0
Gerry Mullany,New York,465.0
Kim Barker,U.S.,457.0
Susanne Craig,U.S.,455.5
Michael Schmidt,Times Insider,453.0
Virginia Heffernan,Arts,446.0
Mike McIntire,Sports,446.0
Maya Salam,Well,445.0
Jodi Kantor,U.S.,438.2
Benoit Denizet-Lewis,Magazine,432.5
Elizabeth Covington,Style,431.0
Introduction Appelbaum,Magazine,429.0
Susan Chira,U.S.,427.0
Stephanie Clifford,New York,426.0
Susan Chira,Sunday Review,413.0
Gabrielle Zevin,Style,391.0
Manny FERNANDEZ,U.S.,388.0
Matt Apuzzo,U.S.,385.6585365853659
Jeremy Peters,Business Day,384.0
Zoe Greenberg,Well,382.5
